fold,seed,epoch,start_time,end_time,epoch_time_s,encoder_learning_rate,head_learning_rate,train_mse,val_mse
0,4610,0,2026_07_11_12_07_39,2026_07_11_12_07_40,40.13717794418335,0.0001,0.001,546.373291015625,293.3244934082031
0,4610,1,2026_07_11_12_08_06,2026_07_11_12_08_07,27.483931303024292,9.993147673772868e-05,0.0009993147673772863,311.8550109863281,288.1849670410156
0,4610,2,2026_07_11_12_08_34,2026_07_11_12_08_35,27.433276176452637,9.972609476841366e-05,0.0009972609476841371,281.1077880859375,192.09532165527344
0,4610,3,2026_07_11_12_09_01,2026_07_11_12_09_01,27.368193864822388,9.938441702975685e-05,0.00099384417029757,233.20811462402344,256.3465881347656
0,4610,4,2026_07_11_12_09_28,2026_07_11_12_09_28,26.556421995162964,9.890738003669021e-05,0.0009890738003669032,208.03775024414062,238.609375
0,4610,5,2026_07_11_12_09_54,2026_07_11_12_09_55,26.601256847381592,9.829629131445338e-05,0.0009829629131445344,162.6373291015625,137.4884796142578
0,4610,6,2026_07_11_12_10_22,2026_07_11_12_10_23,27.487476587295532,9.75528258147576e-05,0.000975528258147576,163.05560302734375,119.77020263671875
0,4610,7,2026_07_11_12_10_49,2026_07_11_12_10_49,27.330188035964966,9.667902132485998e-05,0.0009667902132486008,140.12770080566406,212.47947692871094
0,4610,8,2026_07_11_12_11_16,2026_07_11_12_11_17,26.599716186523438,9.567727288212996e-05,0.0009567727288213021,132.40708923339844,91.4024658203125
0,4610,9,2026_07_11_12_11_43,2026_07_11_12_11_44,27.444758653640747,9.455032620941836e-05,0.0009455032620941862,135.7373046875,87.77841186523438
0,4610,10,2026_07_11_12_12_11,2026_07_11_12_12_11,27.576611280441284,9.330127018922193e-05,0.0009330127018922216,130.68206787109375,97.74100494384766
0,4610,11,2026_07_11_12_12_37,2026_07_11_12_12_37,26.637122869491577,9.193352839727114e-05,0.0009193352839727146,113.66398620605469,101.06613159179688
0,4610,12,2026_07_11_12_13_04,2026_07_11_12_13_04,26.85036015510559,9.045084971874726e-05,0.000904508497187477,107.67687225341797,128.60653686523438
0,4610,13,2026_07_11_12_13_31,2026_07_11_12_13_32,26.563582181930542,8.885729807284835e-05,0.0008885729807284893,112.34367370605469,73.5241470336914
0,4610,14,2026_07_11_12_13_58,2026_07_11_12_13_58,27.361273288726807,8.715724127386946e-05,0.0008715724127387006,99.26776885986328,74.73011016845703
0,4610,15,2026_07_11_12_14_25,2026_07_11_12_14_25,26.685269355773926,8.535533905932718e-05,0.0008535533905932771,101.6412582397461,81.61931610107422
0,4610,16,2026_07_11_12_14_52,2026_07_11_12_14_53,26.8323335647583,8.345653031794285e-05,0.0008345653031794324,89.91354370117188,61.8303337097168
0,4610,17,2026_07_11_12_15_19,2026_07_11_12_15_20,27.360248565673828,8.146601955249173e-05,0.0008146601955249217,84.88333129882812,55.65609359741211
0,4610,18,2026_07_11_12_15_47,2026_07_11_12_15_47,27.527251720428467,7.93892626146235e-05,0.000793892626146239,83.96355438232422,60.19507598876953
0,4610,19,2026_07_11_12_16_13,2026_07_11_12_16_13,26.75480604171753,7.723195175075134e-05,0.0007723195175075157,81.01570129394531,204.88967895507812
0,4610,20,2026_07_11_12_16_40,2026_07_11_12_16_41,26.649948596954346,7.500000000000003e-05,0.0007500000000000016,87.91207885742188,55.742897033691406
0,4610,21,2026_07_11_12_17_08,2026_07_11_12_17_08,27.824419498443604,7.269952498697742e-05,0.0007269952498697744,97.17766571044922,95.09516906738281
0,4610,22,2026_07_11_12_17_34,2026_07_11_12_17_34,26.61908268928528,7.033683215379005e-05,0.0007033683215379,77.31880187988281,56.057132720947266
0,4610,23,2026_07_11_12_18_01,2026_07_11_12_18_02,26.747650384902954,6.791839747726505e-05,0.0006791839747726502,74.11246490478516,52.82654571533203
0,4610,24,2026_07_11_12_18_29,2026_07_11_12_18_30,27.734707593917847,6.54508497187474e-05,0.0006545084971874733,65.3306655883789,54.02367401123047
0,4610,25,2026_07_11_12_18_57,2026_07_11_12_18_57,27.621530532836914,6.294095225512609e-05,0.0006294095225512602,59.97077178955078,46.375789642333984
0,4610,26,2026_07_11_12_19_24,2026_07_11_12_19_24,27.254592895507812,6.039558454088798e-05,0.0006039558454088784,68.38400268554688,53.55665969848633
0,4610,27,2026_07_11_12_19_50,2026_07_11_12_19_51,26.573065996170044,5.7821723252011565e-05,0.0005782172325201144,62.98096466064453,46.15593338012695
0,4610,28,2026_07_11_12_20_18,2026_07_11_12_20_18,27.802677392959595,5.5226423163382674e-05,0.0005522642316338251,58.10497283935547,53.51688766479492
0,4610,29,2026_07_11_12_20_45,2026_07_11_12_20_45,26.773398399353027,5.261679781214716e-05,0.0005261679781214708,71.9726333618164,47.637943267822266
0,4610,30,2026_07_11_12_21_12,2026_07_11_12_21_12,26.63937520980835,4.999999999999992e-05,0.0004999999999999994,69.34342956542969,52.37515640258789
0,4610,31,2026_07_11_12_21_38,2026_07_11_12_21_38,26.806445837020874,4.7383202187852754e-05,0.0004738320218785276,51.67389678955078,56.616004943847656
0,4610,32,2026_07_11_12_22_05,2026_07_11_12_22_05,26.844508171081543,4.477357683661734e-05,0.00044773576836617336,56.98175811767578,52.12641906738281
0,4610,33,2026_07_11_12_22_32,2026_07_11_12_22_33,26.70246386528015,4.2178276747988467e-05,0.00042178276747988487,59.45427322387695,46.07970428466797
