epoch,start_time,end_time,epoch_time_s,learning_rate,train_loss,train_dice_class_1,train_dice_class_2,val_loss,val_foreground_dice_mean,val_dice_class_1,val_dice_class_2
0,2026_06_23_11_02_28,2026_06_23_11_02_28,174.19309973716736,0.0,0.958112895488739,0.0001319158764090389,0.0002876190119422972,,,,
1,2026_06_23_11_10_06,2026_06_23_11_10_08,457.7356011867523,0.0,0.8901482224464417,0.00017258376465179026,0.0002517328830435872,1.0090385675430298,2.9694805642188626e-12,8.338733349655403e-13,5.105088227153054e-12
2,2026_06_23_11_12_16,2026_06_23_11_12_16,129.67556023597717,0.0,0.794003427028656,0.00027671977295540273,7.635285146534443e-05,,,,
3,2026_06_23_11_19_48,2026_06_23_11_19_49,452.0551619529724,0.0,0.8134056329727173,0.00686482572928071,0.0,1.0002977848052979,0.07209083437919617,0.14418166875839233,1.062944621210704e-09
4,2026_06_23_11_21_58,2026_06_23_11_21_58,130.46690773963928,0.0,0.7482519149780273,0.08419676125049591,0.018132684752345085,,,,
5,2026_06_23_11_29_37,2026_06_23_11_29_37,458.3584864139557,0.0,0.8089984655380249,0.07784654945135117,0.0642971470952034,0.9902674555778503,0.015446465462446213,0.01852668635547161,0.012366245500743389
6,2026_06_23_11_31_47,2026_06_23_11_31_47,130.00246691703796,0.0,0.7066871523857117,0.13439339399337769,0.08606132864952087,,,,
7,2026_06_23_11_39_25,2026_06_23_11_39_26,457.91358613967896,0.0,0.7230064868927002,0.2264319658279419,0.14534512162208557,0.9071019291877747,0.10732131451368332,0.10765191167593002,0.10699070245027542
8,2026_06_23_11_41_36,2026_06_23_11_41_36,131.69065856933594,0.0,0.5771182775497437,0.30318841338157654,0.1749308705329895,,,,
9,2026_06_23_11_49_15,2026_06_23_11_49_16,458.5443172454834,0.0,0.610245406627655,0.35544130206108093,0.19200609624385834,0.5588552355766296,0.36617404222488403,0.5821757316589355,0.15017229318618774
10,2026_06_23_11_51_27,2026_06_23_11_51_27,132.47029638290405,2.0000000000000002e-07,0.547395646572113,0.3816107511520386,0.2027067244052887,,,,
11,2026_06_23_11_59_05,2026_06_23_11_59_05,457.9253067970276,2.017999999999996e-05,0.4855595827102661,0.35234108567237854,0.22376973927021027,0.6537936925888062,0.29909372329711914,0.4299798309803009,0.16820752620697021
12,2026_06_23_12_01_15,2026_06_23_12_01_15,129.76199293136597,4.0159999999999805e-05,0.5347326397895813,0.3919830918312073,0.18973419070243835,,,,
13,2026_06_23_12_08_52,2026_06_23_12_08_52,457.229688167572,6.013999999999984e-05,0.518663763999939,0.41557222604751587,0.2031572461128235,0.6386907696723938,0.3101429343223572,0.49667659401893616,0.1236092671751976
14,2026_06_23_12_11_01,2026_06_23_12_11_01,128.47466802597046,8.011999999999997e-05,0.5305123925209045,0.40220072865486145,0.20531122386455536,,,,
15,2026_06_23_12_18_40,2026_06_23_12_18_40,459.66163444519043,0.00010010000000000022,0.49664366245269775,0.3929230868816376,0.21449297666549683,0.6796208024024963,0.26610299944877625,0.3791925609111786,0.1530134379863739
16,2026_06_23_12_20_50,2026_06_23_12_20_50,129.77696871757507,0.00012008000000000059,0.522520899772644,0.37773850560188293,0.16101957857608795,,,,
17,2026_06_23_12_28_27,2026_06_23_12_28_27,456.9439628124237,0.00014006000000000088,0.45592471957206726,0.3739515542984009,0.15045884251594543,0.7995765805244446,0.17632609605789185,0.18870437145233154,0.16394777595996857
18,2026_06_23_12_30_36,2026_06_23_12_30_36,129.30539512634277,0.00016004000000000137,0.5247215032577515,0.41784214973449707,0.2125166356563568,,,,
